created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 29 14:25:45 +0000 2023;1729869259667616003;"@sbyfess Bukan mendukung perceraian tp km hebat &amp  berani. Selamat karena akan terbebas dr lingkungan keluarga toxic dan bodoh spt itu";0;0;0;0;in;1597302463476162560;1729692660909089280;alvingames4444;https://twitter.com/alvingames4444/status/1729869259667616003
Wed Nov 29 13:54:15 +0000 2023;1729861331921297470;"Makasi udah menciptakan lagu perceraian (apapun yang terjadi)";0;0;0;0;in;1368510786113445890;1729861331921297470;dariyupiter;https://twitter.com/dariyupiter/status/1729861331921297470
Wed Nov 29 13:52:18 +0000 2023;1729860843419148447;"stlah perceraian kmrin, trnyta orng tua ku ini udh rujuk lagi brader https://t.co/CT3vGDTKoB";0;0;0;0;in;1474724185721081858;1729860843419148447;aeisayaay;https://twitter.com/aeisayaay/status/1729860843419148447
Wed Nov 29 13:52:16 +0000 2023;1729860834602684749;"@sbyfess nder aku tahu perceraian bukan hal yg disukai oleh Allah, tp dalam hal ini sgt diperbolehkan krn kamu jg berhak ♥️♥️♥️ semoga semua dilancarkan dan dimudahkan. dan selanjutnya kamu bahagia dgn hidup barumu lepas dr suami dan keluarganya.";0;0;0;1;in;1432890440039079938;1729692660909089280;s3dapmalam;https://twitter.com/s3dapmalam/status/1729860834602684749
Wed Nov 29 13:42:37 +0000 2023;1729858402850079078;"Temen gw kyk gini, tau2 lakikny yg mandul.. Pas tau, eh katany temen gw langsung auto disayaaaaaangggg bgttttt... Kayakny takut d cere sm temen gw.. Soale jujurly temen gw mang cantik sih, sbnrny dia bisa aja sih cere'in, tp kata temen gw perceraian trlalu tabu dkeluarga dia.. :|";0;0;0;0;in;122890729;1729858402850079078;sakura_tawanv;https://twitter.com/sakura_tawanv/status/1729858402850079078
Wed Nov 29 13:18:01 +0000 2023;1729852213093191995;"✅ Menghadapi masalah kewangan disebabkan perceraian dan menanggung rawatan anaknya.  Walaupun ada masalah yang berat, dia teruskan untuk hidup.";0;1;0;1;in;1030821332;1729852210920452545;AdamSharizal;https://twitter.com/AdamSharizal/status/1729852213093191995
Wed Nov 29 13:09:29 +0000 2023;1729850065844367864;"@FAKEHILICHURL Masih banyak yg belum paham ttg prenup. Mana masih ada narasi yg bilang bikin prenup tuh sama aja dgn menginginkan perceraian, kan ga gitu konsepnya😭. Semoga makin banyak yg sadar bahwa prenup ini penting";0;2;0;1;in;409928942;1729763133483290735;withlovececilia;https://twitter.com/withlovececilia/status/1729850065844367864
Wed Nov 29 12:50:16 +0000 2023;1729845229145215336;"Gunawan Ancang-ancang Ambil Langkah Hukum, Begini Tanggapan Okie Agustina: Kisruh perceraian Gunawan Dwi Cahyo dan Okie Agustina masih bergulir panas hingga detik ini. Pasalnya, pihak Gunawan dikabarkan tengah… https://t.co/6UKQVp6c7F #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/HH4pJ6G9Y8";0;0;0;0;in;1674289887053512704;1729845229145215336;indigo_cumicumi;https://twitter.com/indigo_cumicumi/status/1729845229145215336
Wed Nov 29 12:37:56 +0000 2023;1729842125385146635;"@sbyfess Gazzzz. Gk usah ragu. Sebutkan alasan perceraian nya "suami mandul" dengan lantang waktu sidang. Liat ekspresi suami dan mertua.";0;0;0;0;in;560119632;1729692660909089280;welf_are;https://twitter.com/welf_are/status/1729842125385146635
Wed Nov 29 11:35:01 +0000 2023;1729826291703029999;"@kelinciau Egois banget sih lo farhan, segampang itu lo urus perceraian lo kali yg ga cinta sma manda klo lo cinta lo berusaha sabar krn disini yg lagi banyak tekanan itu manda bukan lo, harusnya lo kasih wkt buat manda bukan malah makin menyudutkan manda dasar lo dan zidane sma aja bangke!";0;0;0;1;in;1608810466884882434;1667909090721562624;doublek4k4;https://twitter.com/doublek4k4/status/1729826291703029999
Wed Nov 29 11:20:32 +0000 2023;1729822648656330771;"60. MATRIMONIAL CHAOS  Perjalanan perceraian yg akhirnya menguak berbagai cerita relationship di bbrapa pasangan sekitarnya. Menikah, pacaran, bercerai tidak ada satupun yg menjalaninya dgn mudah, krn slain suka pst ada duka &amp  traumanya. Ada aja pelajarannya yg bs di ambil.  7/10 https://t.co/59oCZDiCJs";0;1;0;0;in;71962092;1609555970014982146;znzulaimyta;https://twitter.com/znzulaimyta/status/1729822648656330771
Wed Nov 29 11:12:02 +0000 2023;1729820507581960217;"Kes cerai di Terengganu meningkat 20 peratus   11,246 perkahwinan telah direkodkan pada 2022 dengan jumlah perceraian sebanyak 14 peratus (1,656 kes). - Maliaman  #SinarHarian #Cerai  https://t.co/m48ZohFz74";1;0;4;3;in;331383958;1729820507581960217;SinarOnline;https://twitter.com/SinarOnline/status/1729820507581960217
Wed Nov 29 11:06:21 +0000 2023;1729819078305452494;"Abis nonton ini jadi masih fresh sama karakter Qin Shi, pengacara divisi keluarga yg sering ngurus urusan perceraian https://t.co/j7mUBEv9gS";0;0;0;0;in;991903561;1729817969474130153;KuchingLiar;https://twitter.com/KuchingLiar/status/1729819078305452494
Wed Nov 29 10:59:59 +0000 2023;1729817474378699200;"Bertemu kekasih lama di laman sosial galak kes cerai di Terengganu  #BHNasional Anak-anak akan terkesan akibat perceraian ibu bapa hingga mendorong kes bunuh diri kerana tekanan - EXCO Terengganu  https://t.co/xCYDbmuPCD";0;0;1;0;in;63070483;1729817474378699200;bharianmy;https://twitter.com/bharianmy/status/1729817474378699200
Wed Nov 29 10:42:35 +0000 2023;1729813099211821322;"#kualaterengganu Isu perceraian yang berlaku di Terengganu tahap membimbangkan apabila merekodkan 1,855 kes iaitu peningkatan kepada 20 peratus daripada 9,075 perkahwinan tahun ini berbanding tahun lalu.  https://t.co/rfoYJp2gKm";0;0;0;2;in;63070015;1729813099211821322;hmetromy;https://twitter.com/hmetromy/status/1729813099211821322
Wed Nov 29 10:26:46 +0000 2023;1729809118842544163;"Perceraian antara Ibu Tina dan Ayah Yusuf yg tidak dihadiri tergugat. Ya tergugat nya Ayah Yusuf. Ibu Tina sedikit legaa, dan bingung juga. "Bagaimana caranya aku bisa membesarkan anak ini sendirian ?. Apapun caranya aku harus bisa bangkit!" Pikir bu Tina.";0;0;0;0;in;1520513576753983488;1729791331889811752;fitriaastini98;https://twitter.com/fitriaastini98/status/1729809118842544163
Wed Nov 29 10:25:09 +0000 2023;1729808708396318804;"@0tk0il Jomblo adalah penyebab perceraian";0;0;1;0;in;59013475;1729808479785713869;napuspita;https://twitter.com/napuspita/status/1729808708396318804
